field_id,om_pct,ph_water,awc_r,drainagecl,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
171623003907773,4.43,6.55,0.211,Well drained,27.1,18.4,53.5,1.34,19.5
171623003907856,3.81,6.32,0.18,Well drained,27.3,20.6,52.0,1.41,22.0
171623003908187,3.48,6.56,0.205,Moderately well drained,32.3,24.5,50.5,1.5,19.0
171623003908442,2.66,6.33,0.188,Moderately well drained,32.4,23.9,48.6,1.31,19.1
171623003907508,3.82,6.31,0.204,Well drained,28.1,17.7,51.1,1.32,23.4
171623003907854,3.94,6.25,0.185,Well drained,32.7,24.7,47.6,1.33,19.9
171623003907723,3.81,6.11,0.213,Well drained,25.6,18.3,51.0,1.35,19.8
171623003907306,3.04,6.78,0.195,Well drained,27.8,17.9,47.6,1.44,21.8
171623003907460,3.86,6.19,0.198,Well drained,29.6,16.2,52.8,1.5,20.0
171623003908443,4.14,6.55,0.206,Well drained,28.7,17.2,52.9,1.38,20.9
