T2M_MIN,T2M_MAX,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M,date,field_id
-3.66,8.37,1.62,0.0,9.65,81.23,6.32,2020-01-01,171623003907773
1.35,9.3,5.44,0.1,6.57,93.19,5.51,2020-01-02,171623003907773
-0.76,7.6,4.7,0.21,2.54,90.21,3.17,2020-01-03,171623003907773
-5.0,2.66,-0.91,0.35,2.57,87.89,4.93,2020-01-04,171623003907773
-5.06,8.45,0.77,0.0,8.11,80.4,6.87,2020-01-05,171623003907773
-4.37,5.75,0.41,0.0,7.49,66.4,2.13,2020-01-06,171623003907773
-2.34,6.76,1.27,0.0,9.29,68.82,4.35,2020-01-07,171623003907773
-5.73,-0.43,-3.19,0.0,8.48,67.48,5.11,2020-01-08,171623003907773
-3.12,9.48,4.33,9.93,2.25,83.72,8.9,2020-01-09,171623003907773
7.55,14.37,11.12,24.44,2.46,97.07,5.47,2020-01-10,171623003907773
-2.84,13.6,4.82,46.9,1.53,92.23,8.0,2020-01-11,171623003907773
-5.5,1.35,-1.97,0.2,2.76,89.29,2.56,2020-01-12,171623003907773
-2.93,3.93,-0.02,0.06,3.96,91.49,3.26,2020-01-13,171623003907773
-0.65,9.59,3.86,0.01,6.21,93.22,3.47,2020-01-14,171623003907773
-1.36,8.0,3.37,0.06,3.24,93.51,5.16,2020-01-15,171623003907773
-7.22,-1.4,-4.63,0.0,11.02,72.6,5.99,2020-01-16,171623003907773
-5.96,-0.52,-3.08,9.22,2.77,79.38,7.19,2020-01-17,171623003907773
-11.75,3.76,-1.68,16.08,2.74,85.09,10.64,2020-01-18,171623003907773
-15.08,-10.53,-12.63,0.19,7.11,80.54,7.9,2020-01-19,171623003907773
-11.17,-3.55,-7.32,0.02,5.59,89.47,3.1,2020-01-20,171623003907773
-10.06,0.05,-5.51,0.0,10.81,87.18,2.6,2020-01-21,171623003907773
-6.98,0.1,-3.2,0.25,7.13,85.31,5.64,2020-01-22,171623003907773
-1.44,2.91,0.75,6.6,2.85,92.85,4.94,2020-01-23,171623003907773
-1.66,3.65,0.85,1.27,3.72,96.35,3.06,2020-01-24,171623003907773
-2.69,1.29,-0.55,1.26,2.31,91.75,6.71,2020-01-25,171623003907773
-4.07,2.7,-1.7,0.0,8.95,90.3,3.77,2020-01-26,171623003907773
-5.98,1.79,-2.57,0.0,3.06,90.59,2.96,2020-01-27,171623003907773
-6.64,1.55,-2.4,0.02,4.31,90.85,2.13,2020-01-28,171623003907773
-2.67,1.27,-1.12,0.02,3.91,87.62,2.47,2020-01-29,171623003907773
-4.71,3.35,-0.56,0.02,5.78,81.29,1.67,2020-01-30,171623003907773
-1.53,5.37,1.26,0.38,5.0,84.88,2.02,2020-01-31,171623003907773
-1.23,4.69,0.97,0.27,4.09,92.06,4.51,2020-02-01,171623003907773
-0.66,14.61,5.35,0.0,12.34,87.88,6.77,2020-02-02,171623003907773
1.63,16.41,8.02,0.0,9.59,92.0,5.11,2020-02-03,171623003907773
-1.05,8.61,2.62,0.76,4.14,85.54,7.68,2020-02-04,171623003907773
-2.65,3.22,-0.81,4.28,3.46,82.13,7.38,2020-02-05,171623003907773
-4.31,-0.08,-2.59,0.54,3.64,85.65,5.37,2020-02-06,171623003907773
-4.59,1.55,-1.72,1.36,10.97,82.49,4.14,2020-02-07,171623003907773
-5.21,1.39,-2.01,0.49,4.4,88.28,3.49,2020-02-08,171623003907773
-5.32,4.86,0.34,13.26,1.69,94.02,6.65,2020-02-09,171623003907773
-2.8,2.63,-0.62,0.06,9.36,88.34,3.65,2020-02-10,171623003907773
-3.12,4.53,-0.13,0.0,12.33,80.79,3.4,2020-02-11,171623003907773
