field_id,om_pct,ph_water,awc_r,drainagecl,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
171623003907773,4.43,6.55,0.211,Well drained,27.1,18.4,53.5,1.34,19.5
171623003907856,3.81,6.32,0.18,Well drained,27.3,20.6,52.0,1.41,22.0
171623003908187,3.48,6.56,0.205,Moderately well drained,32.3,24.5,50.5,1.5,19.0
171623003908442,2.66,6.33,0.188,Moderately well drained,32.4,23.9,48.6,1.31,19.1
171623003907508,3.82,6.31,0.204,Well drained,28.1,17.7,51.1,1.32,23.4
171623003907854,3.94,6.25,0.185,Well drained,32.7,24.7,47.6,1.33,19.9
171623003907723,3.81,6.11,0.213,Well drained,25.6,18.3,51.0,1.35,19.8
171623003907306,3.04,6.78,0.195,Well drained,27.8,17.9,47.6,1.44,21.8
171623003907460,3.86,6.19,0.198,Well drained,29.6,16.2,52.8,1.5,20.0
171623003908443,4.14,6.55,0.206,Well drained,28.7,17.2,52.9,1.38,20.9
171623003907398,4.41,6.04,0.211,Well drained,27.6,23.4,46.1,1.31,23.6
171623003907504,2.8,6.02,0.186,Moderately well drained,26.2,18.3,46.2,1.43,22.8
171623003907498,3.38,6.26,0.204,Well drained,32.3,18.4,52.2,1.47,19.8
171623003908189,3.8,6.69,0.202,Moderately well drained,33.9,16.4,48.1,1.36,19.0
171623003908186,3.51,6.26,0.219,Well drained,33.4,22.9,53.1,1.46,21.0
171623003907358,3.68,6.32,0.202,Moderately well drained,27.8,21.5,52.2,1.47,23.3
171623003907209,3.33,6.81,0.211,Moderately well drained,26.2,24.8,54.9,1.45,20.9
171623003908175,3.81,6.42,0.215,Well drained,28.9,23.5,47.3,1.36,19.6
171623003907944,3.38,6.29,0.198,Moderately well drained,31.9,16.3,48.2,1.46,18.6
171623003907971,4.36,6.56,0.196,Well drained,25.9,16.6,54.7,1.32,18.0
171623003907291,3.18,6.78,0.192,Well drained,26.3,24.5,47.2,1.41,23.6
171623003908417,4.13,6.26,0.219,Well drained,25.4,24.5,54.5,1.49,20.3
171623003907332,4.01,6.69,0.217,Moderately well drained,33.5,23.7,51.1,1.32,19.5
171623003908167,3.44,6.81,0.203,Moderately well drained,33.3,21.7,45.4,1.49,18.9
171623003907676,3.35,6.61,0.217,Moderately well drained,29.9,18.4,47.8,1.4,18.8
171623003908292,4.04,6.05,0.214,Moderately well drained,32.6,18.6,51.5,1.42,18.5
171623003908358,3.42,6.07,0.193,Moderately well drained,25.5,22.3,53.2,1.32,22.0
171623003907264,2.51,6.86,0.199,Well drained,27.0,21.2,51.7,1.3,22.6
171623003907750,3.33,6.49,0.191,Moderately well drained,33.2,16.3,46.4,1.42,18.5
171623003907386,3.41,6.24,0.208,Well drained,32.9,21.8,55.0,1.33,18.8
171623003907502,4.03,6.41,0.197,Well drained,31.6,21.0,45.8,1.35,21.3
171623003907257,2.7,6.96,0.217,Well drained,26.4,15.7,54.1,1.31,22.5
171623003907947,4.42,6.8,0.212,Well drained,32.4,23.0,53.6,1.36,18.8
171623003907940,3.68,6.57,0.217,Well drained,25.8,24.8,52.3,1.42,19.9
171623003907946,2.94,6.28,0.208,Well drained,30.8,20.0,50.4,1.49,21.3
171623003907669,2.73,6.15,0.206,Well drained,29.4,18.5,52.0,1.36,21.5
171623003907216,3.06,6.09,0.19,Well drained,31.6,16.4,45.2,1.33,21.0
171623003907945,3.81,6.83,0.196,Well drained,25.9,17.0,53.0,1.49,18.8
171623003907695,3.18,6.32,0.216,Well drained,27.7,23.8,53.3,1.45,18.1
171623003907941,3.38,6.59,0.203,Moderately well drained,29.5,19.4,53.6,1.33,21.8
171623003907505,3.05,6.36,0.197,Moderately well drained,29.8,19.5,55.0,1.35,20.6
171623003907501,4.03,6.92,0.211,Moderately well drained,35.0,24.6,52.3,1.48,23.9
171623003907307,2.63,6.53,0.206,Well drained,32.8,22.8,50.1,1.31,22.2
171623003908177,4.29,6.24,0.216,Moderately well drained,32.2,16.5,47.8,1.32,22.0
171623003908063,3.32,6.79,0.202,Well drained,28.1,16.4,50.5,1.45,23.4
171623003907497,3.56,6.92,0.209,Well drained,26.0,18.5,45.0,1.43,19.9
171623003907447,2.92,6.7,0.187,Moderately well drained,25.5,16.4,47.4,1.41,22.7
171623003907308,3.35,6.25,0.21,Moderately well drained,27.0,20.1,52.3,1.34,23.4
171623003907620,4.26,6.76,0.202,Well drained,25.8,17.3,54.6,1.35,20.9
171623003907948,3.05,6.83,0.195,Moderately well drained,28.1,16.5,45.5,1.45,22.3
